keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
voice,Voice,ভয়েস,आवाज़,ಧ್ವನಿ,ସ୍ୱର,কণ্ঠ,અવાજ,आवाज,ശബ്ദം,ਆਵਾਜ਼,குரல்,వాయిస్
anotphasbeensentatyourregisteredmobilenumber,An OTP has been sent at your registered mobile number,,,,,,,,,,,
delivering,Delivering ,বিতরণ,देते,ತಲುಪಿಸಲಾಗುತ್ತದೆ,ବିତରଣ,ডেলিভাৰী কৰা,પહોંચાડવું,वितरण,കൈമാറുന്നു,ਪੇਸ਼ ਕਰਨਾ,வழங்குதல்,పంపిణీ
notDelivering,Not delivering,বিতরণ না,डिलीवर नहीं,ತಲುಪಿಸುತ್ತಿಲ್ಲ,ବିତରଣ ନକରିବା,ডেলিভাৰী কৰা নাই,વિતરિત નહીં,वितरण नाही,വിതരണം ചെയ്യുന്നില്ല,ਪੇਸ਼ ਨਹੀਂ ਕਰ ਰਿਹਾ,வழங்கவில்லை,పంపిణీ చేయడం లేదు
sellerProfile,Seller profile,বিক্রেতা প্রোফাইল,विक्रेता का ब्यौरा,ಮಾರಾಟಗಾರರ ಪ್ರೊಫೈಲ್,ବିକ୍ରେତା ପ୍ରୋଫାଇଲ୍ |,বিক্ৰেতাৰ প্ৰফাইল,વિક્રેતા પ્રોફાઇલ,विक्रेता प्रोफाइल,വിൽപ്പനക്കാരന്റെ പ്രൊഫൈൽ,ਵਿਕਰੇਤਾ ਪ੍ਰੋਫਾਈਲ,விற்பனையாளர் சுயவிவரம்,విక్రేత ప్రొఫైల్
fabulous,Fabulous,কল্পিত,आश्चर्यजनक,ಅದ್ಭುತ,ଫାବୁଲସ୍ |,অবিশ্বাস্য,કલ્પિત,विलक्षण,അവാസ്തവമായ,ਸ਼ਾਨਦਾਰ,அற்புதமான,అద్భుతమైన
customerRated,Customer rated,গ্রাহক রেট,ग्राहक रेटेड,ಗ್ರಹಕರ ಬೇಡಿಕೆ,ଗ୍ରାହକ ମୂଲ୍ୟାୟନ,গ্ৰাহকৰ ৰেটিং,ગ્રાહક માનાંકીત,ग्राहकांनी रेट केलेले,ഉപഭോക്താവ് റേറ്റുചെയ്തു,ਗਾਹਕ ਰੇਟ ਕੀਤਾ ਗਿਆ,வாடிக்கையாளர் மதிப்பிடப்பட்டது,కస్టమర్ రేట్
searchlocation,Search Location,অবস্থান অনুসন্ধান,खोज स्थान,ಸ್ಥಳವನ್ನು ಹುಡುಕಿ,ସନ୍ଧାନ ସ୍ଥାନ,স্থান সন্ধান কৰক,શોધ સ્થાન,स्थान शोधा,സ്ഥാനം തിരയുക,ਖੋਜ ਸਥਾਨ,இடம் தேடல்,శోధన స్థానం
shopByCategories,Shop by categories,বিভাগ দ্বারা কেনাকাটা,श्रेणियों द्वारा दुकान,ವರ್ಗಗಳ ಪ್ರಕಾರ ಶಾಪಿಂಗ್ ಮಾಡಿ,ବର୍ଗଗୁଡିକ ଦ୍ୱାରା କିଣନ୍ତୁ |,শ্ৰেণী অনুসৰি বজাৰ কৰক,શ્રેણીઓ દ્વારા ખરીદી,श्रेणीनुसार खरेदी करा,വിഭാഗങ്ങളിലൂടെ ഷോപ്പുചെയ്യുക,ਵਰਗ ਦੁਆਰਾ ਖਰੀਦਦਾਰੀ ਕਰੋ,வகைகளால் கடை,వర్గాల వారీగా షాపింగ్ చేయండి
next,Next,পরবর্তী,अगला,ಮುಂದಿನ,ପରବର୍ତ୍ତୀ,এটাৰ পাচৰ,આગલું,पुढे,അടുത്തത്,ਅਗਲਾ,அடுத்தது,తరువాత
taptorecordclosingnote,Tap to record closing note,ক্লোজিং নোট রেকর্ড করতে আলতো চাপুন,समापन नोट रिकॉर्ड करने के लिए टैप करें,ಮುಚ್ಚುವ ಟಿಪ್ಪಣಿಯನ್ನು ರೆಕಾರ್ಡ್ ಮಾಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ,ବନ୍ଦ ନୋଟ୍ ରେକର୍ଡ କରିବାକୁ ଟ୍ୟାପ୍ କରନ୍ତୁ |,সমাপ্তি টোকা ৰেকৰ্ড কৰিবলৈ টেপ কৰক,બંધ નોંધ રેકોર્ડ કરવા માટે ટેપ કરો,क्लोजिंग नोट रेकॉर्ड करण्यासाठी टॅप करा,റീസ്റ്റിംഗ് കുറിപ്പ് റെക്കോർഡുചെയ്യാൻ ടാപ്പുചെയ്യുക,ਬੰਦ ਕਰਨ ਵਾਲੇ ਨੋਟ ਨੂੰ ਰਿਕਾਰਡ ਕਰਨ ਲਈ ਟੈਪ ਕਰੋ,இறுதிக் குறிப்பைப் பதிவுசெய்ய தட்டவும்,క్లోజింగ్ నోట్ రికార్డ్ చేయడానికి నొక్కండి
shopInfo,Shop Info,শপ তথ্য,दुकान की जानकारी,ಅಂಗಡಿಯ ಮಾಹಿತಿ,ଦୋକାନ ସୂଚନା,দোকানৰ তথ্য,દુકાનની માહિતી,दुकानाची माहिती,ഷോപ്പ് വിവരം,ਦੁਕਾਨ ਦੀ ਜਾਣਕਾਰੀ,கடை தகவல்,షాప్ సమాచారం
enablelocation,Enable Location,,,,,,,,,,,
vegatables,Vegatables,Vegatables,शख्स,ಸಸ್ಯಪಾಂಡಿಗಳು,ଭେଗେଟେବଲ୍ |,শাক-পাচলি,શાકભાજી,भाज्या,താനൽബാറ്ററികൾ,ਵਾਜਬ,காய்கறிகள்,కూరగాయలు
enablenotification,Enable Notification,,,,,,,,,,,
changelanguage,Change Language,,,,,,,,,,,
confirm,Confirm,নিশ্চিত করুন,पुष्टि करें,ಖಚಿತ ಪಡಿಸು,ନିଶ୍ଚିତ କର |,নিশ্চিত,પુષ્ટિ આપવી,पुष्टी,ഉറപ്പിക്കുക,ਪੁਸ਼ਟੀ ਕਰੋ,உறுதிப்படுத்தவும்,నిర్ధారించండి
byallowingthelocationyouwillgetallyournearbyrestaurants,By allowing the location you will get all your nearby restaurants,,,,,,,,,,,
byallowingthenotificationyouwillgetnotifiedbyyourfavouriterestaurants,By allowing the notification you will get notified by your favourite restaurants,,,,,,,,,,,
nowyoucanchooseyoursuitablelanguage,Now you can choose your suitable language ,,,,,,,,,,,
savethisaddressas,Save this address as,,,,,,,,,,,
yourlocation,Your Location,,,,,,,,,,,
help,Help,সাহায্য,मदद करना,ಸಹಾಯ ಮಾಡು,ସାହାଯ୍ୟ,সহায়,મદદ,मदत,സഹായം,ਮਦਦ ਕਰੋ,உதவி,సహాయం
areyousureyouwanttologout,Are you sure you want to log out?,,,,,,,,,,,
son,Son,,,,,,,,,,,
onboardbysales,Onboard by sales,,,,,,,,,,,
ratings,Ratings,,,,,,,,,,,
cancelOrder,Cancel Order,আদেশ বাতিল,आदेश रद्द,ಆದೇಶವನ್ನು ರದ್ದುಗೊಳಿಸಿ,କ୍ରମ ବାତିଲ୍ କରନ୍ତୁ |,অৰ্ডাৰ বাতিল কৰক,ઓર્ડર રદ,ऑर्डर रद्द करा,ഓർഡർ റദ്ദാക്കാൻ,ਆਰਡਰ ਰੱਦ ਕਰੋ,ஆர்டரை ரத்துசெய்,ఆర్డర్‌ను రద్దు చేయండి
recommendedforyou,Recommended for you ,,,,,,,,,,,
remove,Remove,,,,,,,,,,,
adddetails,Add Details,,,,,,,,,,,
updateuser,Update User,,,,,,,,,,,
nouserscreatedyet,No Users Created Yet,,,,,,,,,,,
advance,Advance,,,,,,,,,,,
pastOrders,Past Orders,অতীত আদেশ,अतीत के आदेश,ಹಿಂದಿನ ಆದೇಶಗಳು,ଅତୀତର ଆଦେଶ,অতীতৰ অৰ্ডাৰসমূহ,પહેલાના ઓર્ડર,मागील ऑर्डर,പഴയ ഓർഡറുകൾ,ਪਿਛਲੇ ਆਰਡਰ,கடந்த ஆர்டர்கள்,గత ఆదేశాలు
viewMoreOrders,View More Orders,আরও আদেশ দেখুন,अधिक आदेश देखें,ಹೆಚ್ಚಿನ ಆದೇಶಗಳನ್ನು ವೀಕ್ಷಿಸಿ,ଅଧିକ ଅର୍ଡର ଦେଖନ୍ତୁ |,অধিক অৰ্ডাৰ চাওক,વધુ ઓર્ડર જુઓ,अधिक ऑर्डर पहा,കൂടുതൽ ഓർഡറുകൾ കാണുക,ਹੋਰ ਆਰਡਰ ਵੇਖੋ,மேலும் ஆர்டர்களைக் காண்க,మరిన్ని ఆర్డర్‌లను చూడండి
ordermanger,Order Manager,,,,,,,,,,,
name,Name,নাম,नाम,ಹೆಸರು,ନାମ,নাম,નામ,नाव,പേര്,ਨਾਮ,பெயர்,పేరు
mycomplaints,My Complaints,আমার অভিযোগ,मेरी शिकायतें,ನನ್ನ ದೂರುಗಳು,ମୋର ଅଭିଯୋଗ,মোৰ অভিযোগসমূহ,મારી ફરિયાદો,माझ्या तक्रारी,എന്റെ പരാതികൾ,ਮੇਰੀਆਂ ਸ਼ਿਕਾਇਤਾਂ,எனது புகார்கள்,నా ఫిర్యాదులు
complainid,Complain ID,অভিযোগ আইডি,शिकायत आईडी,ಐಡಿ ದೂರು,ଅଭିଯୋଗ ID,অভিযোগ আইডি,આઈડી ફરિયાદ કરવી,तक्रार आयडी,ഐഡി പരാതി,ਸ਼ਿਕਾਇਤ ਆਈਡੀ,புகார் ID,ఫిర్యాదు ఐడి
assignedtoaccountmanager,Assigned to Account Manager,অ্যাকাউন্ট ম্যানেজারকে বরাদ্দ করা হয়েছে,खाता प्रबंधक को सौंपा गया,ಖಾತೆ ವ್ಯವಸ್ಥಾಪಕರಿಗೆ ನಿಯೋಜಿಸಲಾಗಿದೆ,ଆକାଉଣ୍ଟ୍ ମ୍ୟାନେଜର୍ ପାଇଁ ନ୍ୟସ୍ତ |,একাউণ্ট মেনেজাৰলৈ আৱণ্টন কৰা হৈছে,એકાઉન્ટ મેનેજરને સોંપેલ,खाते व्यवस्थापकास नियुक्त केलेले,അക്കൗണ്ട് മാനേജറിലേക്ക് നിയോഗിച്ചു,ਖਾਤਾ ਪ੍ਰਬੰਧਕ ਨੂੰ ਨਿਰਧਾਰਤ ਕੀਤਾ,கணக்கு மேலாளருக்கு ஒதுக்கப்பட்டுள்ளது,ఖాతా నిర్వాహకుడికి కేటాయించబడింది
complainraised,Complain Raised,অভিযোগ উত্থাপিত,शिकायत उठाई,ದೂರು ಬೆಳೆದಿದೆ,ଅଭିଯୋଗ ହୋଇଛି,অভিযোগ ৰাছিদ,Raંચી ફરિયાદ,तक्रार केली,പരാതി ഉയർത്തി,ਸ਼ਿਕਾਇਤ,புகார் எழுப்பப்பட்டது,ఫిర్యాదు పెరిగింది
verify,Verify,যাচাই করুন,सत्यापित करना,ಪರಿಶೀಲಿಸು,ଯାଞ୍ଚ କରନ୍ତୁ |,সত্যাপন কৰা,ચકાસણી કરવી,सत्यापित करा,പമാണീകരിക്കുക,ਤਸਦੀਕ ਕਰੋ,சரிபார்க்கவும்,ధృవీకరించండి
yesterday,yesterday,গতকাল,कल,ನಿನ್ನೆ,ଗତକାଲି,কালি,ગઇકાલે,काल,തലേനാള്,ਕੱਲ,நேற்று,నిన్న
refferBy,Refer by,উল্লেখ করুন,द्वारा संदर्भित करना,ಇನ್ನೊಬ್ಬರಿಂದ ಶಿಫಾರಸು,ଦ୍ୱାରା ଅନୁସରଣ କରନ୍ତୁ |,দ্বাৰা ৰেফাৰ কৰক,દ્વારા ઉલ્લેખ કરવો,द्वारा संदर्भित करा,പരാമർശിക്കുക,ਦੁਆਰਾ ਵੇਖੋ,குறிப்பிடவும்,చూడండి
email,Email,ইমেল,ईमेल,ಸಂದೇಶ ಕಳುಹಿಸು,ଇମେଲ୍,ইমেইল,ઇમેઇલ,ईमेल,ഇമെയിൽ,ਈ - ਮੇਲ,மின்னஞ்சல்,ఇమెయిల్
escalatedtostatehead,Escalated to state head,রাষ্ট্রের মাথায় বেড়ে ওঠা,स्टेट हेड के लिए बढ़ गया,ರಾಜ್ಯ ತಲೆಗೆ ಉಲ್ಬಣಗೊಂಡಿತು,ରାଜ୍ୟ ମୁଣ୍ଡରେ ବୃଦ୍ଧି ପାଇଲା |,ৰাজ্যৰ মুৰব্বীলৈ বৃদ্ধি কৰা হৈছে,રાજ્યના વડા,राज्यप्रमुखापर्यंत पोहोचवले,സംസ്ഥാന തലയിലേക്ക് വർദ്ധിച്ചു,ਰਾਜ ਦੇ ਸਿਰ ਤੋਂ ਵੱਧ,மாநிலத் தலைவருக்கு அதிகரித்தது,రాష్ట్ర తలపై పెరిగారు
escalated to city officer,Escalated to City officer,সিটি অফিসারকে বাড়িয়ে,कल,ನಗರ ಅಧಿಕಾರಿಗೆ ಉಲ್ಬಣಗೊಂಡಿದೆ,ସହରର ଅଧିକାରୀଙ୍କ ପାଇଁ ବୃଦ୍ଧି ପାଇଲା |,মহানগৰ বিষয়ালৈ বৃদ্ধি কৰা হৈছে,શહેર અધિકારીને વધારવામાં,शहर अधिकारीपर्यंत पोहोचवले,നഗര ഉദ്യോഗസ്ഥനായി വർദ്ധിച്ചു,ਸ਼ਹਿਰ ਦੇ ਅਧਿਕਾਰੀ ਨੂੰ ਵਧਿਆ,நகர அதிகாரிக்கு அதிகரித்தது,నగర అధికారికి పెరిగారు
message,Message,বার্তা,संदेश,ಸಂದೇಶ,ବାର୍ତ୍ତା |,বাৰ্তা,એસએમએસ,संदेश,ദൂത്,ਸੁਨੇਹਾ,செய்தி,సందేశం
editProfile,Edit Profile,জীবন বৃত্তান্ত সম্পাদনা,प्रोफ़ाइल संपादित करें,ಮುಖಪುಟ ಬದಲಿಸು,ପ୍ରୋଫାଇଲ୍ ଏଡ଼ିଟ୍ କରନ୍ତୁ,প্ৰফাইল সম্পাদনা কৰক,પ્રોફાઇલ સંપાદિત કરો,प्रोफाईल संपादित करा,പ്രൊഫൈൽ എഡിറ്റുചെയ്യുക,ਸੋਧ ਪ੍ਰੋਫ਼ਾਈਲ,சுயவிவரத்தைத் திருத்து,ప్రొఫైల్‌ను సవరించండి
orderdelivered,Order Delivered,,,,,,,,,,,
favoruites,Favoruites,অনুকূল,पसंदीदा,ಒಲವು ತೋರುವ,ପ୍ରିୟତମ,প্ৰিয়সমূহ,પસંદગીઓ,आवडते,പീരന്റീസ്,ਪੱਖਪਾਤ,பிடித்தவை,ఇష్టమైనవి
shops,Shops,দোকান,दुकानें,ಅಂಗಡಿಗಳು,ଦୋକାନଗୁଡିକ,দোকানসমূহ,દુકાનો,दुकाने,കടകൾ,ਦੁਕਾਨਾਂ,கடைகள்,దుకాణాలు
savedAddress,Saved Address,সংরক্ষণ ঠিকানা,सहेजा गया पता,ಉಳಿಸಿದ ವಿಳಾಸ,ସଞ୍ଚିତ ଠିକଣା,সংৰক্ষিত ঠিকনা,સાચવેલ સરનામું,जतन केलेला पत्ता,സംരക്ഷിച്ച വിലാസം,ਸੰਗੀਚਿਤ ਪਤਾ,சேமித்த முகவரி,సేవ్ చేసిన చిరునామా
yourorderhasbeendeliveredsuccessully,Your order has been Delivered Sucessfully ,,,,,,,,,,,
makepayment,Make Payment,,,,,,,,,,,
privacyPolicies,Privacy policies,গোপনীয়তা নীতি,गोपनीयता नीतियाँ,ಗೌಪ್ಯತೆ ನೀತಿಗಳು,ଗୋପନୀୟତା ନୀତି,গোপনীয়তা নীতিসমূহ,ગોપનીયતા નીતિ,गोपनीयता धोरणे,സ്വകാര്യതാ നയങ്ങൾ,ਗੋਪਨੀਯਤਾ ਨੀਤੀਆਂ,தனியுரிமைக் கொள்கைகள்,గోప్యతా విధానాలు
doyouwanttodelete,Do you want to delete?,,,,,,,,,,,
no,No,,,,,,,,,,,
byClicking,By clicking ,ক্লিক করে,क्लिक करके,ವತ್ತುವ ಮೂಲಕ,କ୍ଲିକ୍ କରି |,ক্লিক কৰি,ક્લિક કરીને,क्लिक करून,ക്ലിക്കുചെയ്യുന്നതിലൂടെ,ਕਲਿਕ ਕਰਕੇ,கிளிக் செய்வதன் மூலம்,క్లిక్ చేయడం ద్వారా
iAccept,I accept,আমি স্বীকার করছি,मुझे स्वीकार है,ನಾನೂ ಸ್ವೀಕರಿಸುತ್ತೇನೆ,ମୁଁ ସ୍ଵୀକାର କରୁଛି,মই মানি লওঁ,હું સ્વીકારું છું,मला मान्य आहे,ഞാൻ അംഗീകരിക്കുന്നു,ਮੈਂ ਸਵੀਕਾਰ ਕਰਦਾ ਹਾਂ,நான் ஏற்றுக்கொள்கிறேன்,నేను ఒప్పుకుంటున్నా
theTerms,the terms,শর্তাবলী,शर्तें,ನಿಯಮಗಳು,ସର୍ତ୍ତାବଳୀ,চৰ্তসমূহ,શરતો,अटी,നിബന്ധനകൾ,ਸ਼ਬਦ,கட்டளைகள்,నిబంధనలు
conditionsAnd,conditions and ,শর্ত এবং,शर्तों और,ಷರತ್ತುಗಳು ಮತ್ತು,ସର୍ତ୍ତ ଏବଂ,চৰ্ত আৰু,શરતો અને,अटी आणि,വ്യവസ്ഥകളും,ਹਾਲਾਤ ਅਤੇ,நிபந்தனைகள் மற்றும்,షరతులు మరియు
priavacyPolicy,Privacy Policy.,গোপনীয়তা নীতি.,गोपनीयता नीति।,ಗೌಪ್ಯತಾ ನೀತಿ.,ଗୋପନୀୟତା ନୀତି,গোপনীয়তা নীতি।,ગોપનીયતા નીતિ.,गोपनीयता धोरण.,സ്വകാര്യതാനയം.,ਪਰਾਈਵੇਟ ਨੀਤੀ.,தனியுரிமைக் கொள்கை.,గోప్యతా విధానం.
didn'tReceive,Didn't receive,গ্রহণ করেনি,प्राप्त नहीं हुआ,ಸ್ವೀಕರಿಸಲಿಲ್ಲ,ଗ୍ରହଣ କରିନାହିଁ |,লাভ কৰা নাছিল,પ્રાપ્ત કર્યું નથી,प्राप्त झालेला नाही,സ്വീകരിച്ചില്ല,ਪ੍ਰਾਪਤ ਨਹੀ ਕੀਤਾ,பெறவில்லை,స్వీకరించలేదు
verifyVia,Verify via,মাধ্যমে যাচাই করুন,के माध्यम से सत्यापित करें,ಮೂಲಕ ಪರಿಶೀಲಿಸಿ,ମାଧ୍ୟମରେ ଯାଞ୍ଚ କରନ୍ତୁ |,যোগে পৰীক্ষা কৰক,દ્વારા ચકાસણી કરવી,मार्गे सत्यापित करा,വഴി പരിശോധിക്കുക,Via ਦੁਆਰਾ ਤਸਦੀਕ ਕਰੋ,வழியாக சரிபார்க்கவும்,ద్వారా ధృవీకరించండి
howdoyoufeel,How Do You Feel,,,,,,,,,,,
,,,,,,,,,,,,
pickupWithin,Pickup within,মধ্যে পিকআপ,भीतर पिकअप,ಒಳಗೆ ಪಿಕಪ್,ଭିତରେ ପିକଅପ୍ |,ভিতৰত পিকআপ কৰক,અંદર પિકઅપ,आत पिकअप,അകത്ത് പിക്കപ്പ്,ਅੰਦਰ ਪਿਕਅਪ,உள்ளே இடும்,లోపల పికప్
addDebit,add debit,ডেবিট যোগ করুন,डेबिट जोड़ें,ಖರ್ಚು ಸೇರಿಸು,ଡେବିଟ୍ ଯୋଡନ୍ତୁ |,ডেবিট যোগ কৰক,ઉધાર ઉમેરો,डेबिट जोडा,ഡെബിറ്റ് ചേർക്കുക,ਡੈਬਿਟ ਸ਼ਾਮਲ ਕਰੋ,டெபிட் சேர்க்கவும்,డెబిట్ జోడించండి
creditCard,credit card,ক্রেডিট কার্ড,क्रेडिट कार्ड,ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್,କ୍ରେଡିଟ୍ କାର୍ଡ଼,ক্ৰেডিট কাৰ্ড,ક્રેડીટ કાર્ડ,क्रेडीट कार्ड,ക്രെഡിറ്റ് കാർഡ്,ਕਰੇਡਿਟ ਕਾਰਡ,கடன் அட்டை,క్రెడిట్ కార్డు
yourOrder,your order,তোমার আদেশ,आपका आदेश,ನಿಮ್ಮ ಆದೇಶ,ତୁମ ଅର୍ଡ,আপোনাৰ অৰ্ডাৰ,તમારો ઓર્ડર,तुमची  ऑर्डर,നിങ്ങളുടെ ഓർഡർ,ਤੁਹਾਡਾ ਆਰਡਰ,உங்கள் ஆர்டர்,మీ ఆజ్ఞ
willBe,will be,হবে,होगा,ಇರುತ್ತದೆ,ହବ,হব,હશે,असेल,ആയിരിക്കും,ਹੋ ਜਾਵੇਗਾ,இருக்கும்,ఉంటుంది
,,,,,,,,,,,,
deliver,deliver,বিতরণ,वितरण,ತಲುಪಿಸು,ବିତରଣ କର |,বিলি কৰা,પહોંચાડવું,वितरित,മോചിപ്പിക്കുക,ਸਪੁਰਦ ਕਰੋ,வழங்கவும்,బట్వాడా
pickupNoShow,pickup no show,পিকআপ কোন শো,पिकअप नो शो,ಪಿಕಪ್ ಇಲ್ಲ,ପିକଅପ୍ କ show ଣସି ଶୋ ଦେଖାନ୍ତୁ ନାହିଁ |,পিকআপ ন' শ্ব',કોઈ શો પિકઅપ,पिकअप नाही शो,പിക്കപ്പ് ഇല്ല ഷോ,ਪਿਕਅਪ ਕੋਈ ਸ਼ੋਅ ਨਹੀਂ,பிக்கப் இல்லை ஷோ,పికప్ లేదు ప్రదర్శన లేదు
house,House,গৃহ,मकान,ಮನೆ,ଘର,ঘৰ,ઘર,घर,വീട്,ਘਰ,வீடு,ఇల్లు
flat,Flat,সমান,समतल,ಕಟ್ಟಡ,ଫ୍ଲାଟ,চেপেটা,ફ્લેટ,फ्लॅट,പരന്ന,ਫਲੈਟ,தட்டையானது,ఫ్లాట్
block,Block,ব্লক,अवरोध पैदा करना,ನಿರ್ಬಂಧ,ବ୍ଲକ,অৱৰুদ্ধ কৰা,વિભાગ,ब्लॉक,ഉപരോധിക്കുക,ਬਲਾਕ,தொகுதி,బ్లాక్
blockNumber,Block Number,ব্লক নম্বর,ब्लॉक संख्या,ಕಸಿ,ବ୍ଲକ ନମ୍ବର,ব্লক নম্বৰ,વિભાગ નંબર,ब्लॉक क्रमांक,ബ്ലോക്ക് നമ്പർ,ਬਲਾਕ ਨੰਬਰ,தொகுதி எண்,బ్లాక్ సంఖ్య
appartment,Apartment,অ্যাপার্টমেন্ট,अपार्टमेंट,ಅಪಾರ್ಟ್ಮೆಂಟ್,ଆପାର୍ଟମେଣ୍ଟ,এপাৰ্টমেণ্ট,એપાર્ટમેન્ટ,अपार्टमेंट,മുറി,ਅਪਾਰਟਮੈਂਟ,அடுக்குமாடி இல்லங்கள்,అపార్ట్మెంట్
road,Road,রাস্তা,सड़क,ರಸ್ತೆ,ରାସ୍ତା,পথ,માર્ગ,रस्ता,നടപ്പാത,ਸੜਕ,சாலை,త్రోవ
area,Area,অঞ্চল,क्षेत्र,ಬೀದಿ,କ୍ଷେତ୍ର,এলাকা,વિસ્તાર,क्षेत्र,പദേശം,ਖੇਤਰ,பகுதி,ప్రాంతం
saveThis,Save this ,এটা সংরক্ষন কর,इसे बचाएं,ಇದನ್ನು ಉಳಿಸಿ,ଏହାକୁ ସଞ୍ଚୟ କରନ୍ତୁ |,এইটো সংৰক্ষণ কৰক,આ સાચવો,हे जतन करा,ഇത് സംരക്ഷിക്കുക,ਇਸ ਨੂੰ ਬਚਾਓ,இதைச் சேமிக்கவும்,దీన్ని సేవ్ చేయండి
addressAs,Address as,ঠিকানা হিসাবে,के रूप में पता,ವಿಳಾಸ,ଯେପରି ଠିକଣା,ঠিকনা হিচাপে,સરનામું,पत्ता म्हणून,എന്നപോലെ വിലാസം,ਐਡਰੈੱਸ ਦੇ ਤੌਰ ਤੇ,முகவரி என,చిరునామా
areYou,Are you,আপনি,क्या आप,ನೀನೇನಾ,ତୁମେ କି,তুমি নে,તમે છો,आपण आहात,നിങ്ങളാണോ,ਕੀ ਤੁਸੀਂ,நீங்கள்,మీరు
sureYou,sure you ,নিশ্চিত তুমি,नि: संदेह आपको,ಖಚಿತವಾಗಿ ನೀವು,ନିଶ୍ଚିତ ତୁମେ,নিশ্চিতভাৱে আপুনি,તમને ખાતરી છે,तुम्हाला खात्री आहे,തീർച്ചയായും നിങ്ങൾ,ਤੁਹਾਨੂ,நிச்சயமாக நீங்கள்,ఖచ్చితంగా మీరు
wantTo,want to,চাই,चाहना,ಬಯಸುವ,ଚାହେଁ,বিচাৰোঁ,માંગતા,इच्छित,വേണം,ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ,வேண்டும்,కావలసిన
logOut,LOGOUT,প্রস্থান,लॉग आउट,ಲಾಗ್ ಔಟ್,ପ୍ରସ୍ଥାନ କର,লগ আউট,લૉગ આઉટ,बाहेर पडणे,ലോഗൗട്ട്,"ਲਾੱਗ ਆਊਟ, ਬਾਹਰ ਆਉਣਾ",வெளியேறு,లాగ్అవుట్
smsSent,sms sent,এসএমএস প্রেরণ,एसएमएस ने भेजा,ಸಂದೇಶ ಕಳುಹಿಸಲಾಗಿದೆ,SMS ପଠାଯାଇଛି |,sms প্ৰেৰণ কৰা হৈছে,એસ.એમ.એસ.,एसएमएस पाठविला,SMS അയച്ചു,ਐਸਐਮਐਸ ਭੇਜਿਆ ਗਿਆ,எஸ்எம்எஸ் அனுப்பப்பட்டது,SMS పంపబడింది
successfullty,Successfully,সফলভাবে,सफलतापूर्वक,ಯಶಸ್ವಿಯಾಗಿ,ସଫଳତାର ସହିତ |,সফলতাৰে,સફળતાપૂર્વક,यशस्वीरित्या,വിജയകരമായി,ਸਫਲਤਾਪੂਰਵਕ,வெற்றிகரமாக,విజయవంతంగా
deliverymanager,Delivery Manager,,,,,,,,,,,
hasBeen,has been,হয়েছে,रहा है,ಇದೆ,ହେଇ ଯାଇଛି,হৈছে,રહી છે,आहे,ആയിരുന്നു,ਕੀਤਾ ਗਿਆ ਹੈ,உள்ளது,ఉంది
sentAt,sent at,পাঠানো,पर भेजा गया,ನಲ್ಲಿ ಕಳುಹಿಸಲಾಗಿದೆ,କୁ ପଠାଇଲେ,পঠিওৱা হৈছে,મોકલી આપ્યું,येथे पाठविले,അയച്ചു,ਤੇ ਭੇਜਿਆ,அனுப்பப்பட்டது,వద్ద పంపారు
yourRegistered,your registered,আপনার নিবন্ধিত,आपका पंजीकृत,ನಿಮ್ಮ ದಾಖಲಾತಿ ಸಂಪೂರ್ಣವಾಗಿದೆ,ତୁମର ପଞ୍ଜିକୃତ,আপোনাৰ পঞ্জীয়নভুক্ত,તમારા નોંધાયેલા,आपले नोंदणीकृत,നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്തു,ਤੁਹਾਡੀ ਰਜਿਸਟਰਡ,நீங்கள் பதிவுசெய்தது,మీ రిజిస్టర్డ్
house/flat/Blockno,House/Flat/Block no.,বাড়ি/ফ্ল্যাট/ব্লক নং।,हाउस/फ्लैट/ब्लॉक नं।,ಮನೆ/ಫ್ಲಾಟ್/ಬ್ಲಾಕ್ ಸಂಖ್ಯೆ.,ଘର / ଫ୍ଲାଟ / ବ୍ଲକ୍ ନଂ।,হাউচ/ফ্লেট/ব্লক নম্বৰ।,ઘર/ફ્લેટ/બ્લોક નં.,घर/फ्लॅट/ब्लॉक क्र.,വീട് / ഫ്ലാറ്റ് / ബ്ലോക്ക് നമ്പർ.,ਘਰ / ਫਲੈਟ / ਬਲਾਕ ਨੰ.,வீடு/பிளாட்/பிளாக் எண்.,ఇల్లు/ఫ్లాట్/బ్లాక్ నం.
